Customer;SSN;Birthdate;Age;Region;CredCardUser;Income;Purchases;AmtSpent
42;176-72-8671;24/04/62;36;South;0;133200;4;2230
43;053-13-0416;21/01/30;69;West;1;146300;1;480
44;069-34-0131;04/02/68;31;South;0;138900;2;1150
45;710-56-1876;15/05/73;25;East;1;145700;1;520
46;926-75-2882;14/06/74;24;North;0;93900;2;1000
47;601-10-4503;19/12/48;50;East;1;9999;2;1020
48;309-29-2521;19/05/61;37;West;1;92600;3;1490
49;539-79-0361;23/02/72;27;East;0;94900;1;520
50;912-79-4136;09/04/57;42;North;0;108700;2;1060
51;669-39-4544;05/10/33;65;West;0;149;2;1010
52;318-19-1132;25/01/60;39;East;0;158700;2;980
53;300-80-8755;28/06/53;45;South;0;34900;1;430
54;081-96-6992;14/05/46;52;South;1;54500;8;4030
55;183-43-4916;22/10/32;66;East;0;154200;7;3410
56;811-50-5929;14/06/37;61; East;0;86200;3;1490
57;380-14-0708;02/10/65;33; East;0;76000;3;1620
58;878-86-4832;16/10/56;42;South;1;25900;1;530
59;716-43-4054;17/01/63;36;South;1;92900;1;520
60;893-32-5390;18/02/45;54;South;1;49100;5;2580
61;104-36-4033;04/07/43;55;East;0;107800;2;1050
62;001-80-6937;27/12/54;44;West;1;44000;4;2020
63;147-88-6983;13/05/49;49;South;0;75600;3;1400
64;205-84-3572;17/05/27;71;East;0;50500;1;490
65;745-24-4400;09/11/49;49;North;1;63800;5;2660
66;635-32-9235;01/05/59;39;South;1;156400;0;0
67;091-68-3326;08/03/67;32;West;0;143200;1;490
68;158-84-9070;06/05/41;57;North;0;63200;5;2500
69;606-84-6807;14/02/38;61;North;1;53300;3;1470
70;091-01-0397;08/09/45;53;East;0;143200;5;2520
71;472-87-6263;01/02/49;50;East;0;41900;2;960
72;033-31-9733;21/07/47;51;West;1;75300;3;1610
73;660-23-9075;14/10/57;41;North;0;61700;1;430
74;670-03-5222;15/09/47;51;North;0;62900;3;1540
75;035-33-5471;03/09/62;36;South;1;57200;4;1870
76;701-16-7956;08/06/52;46;South;0;28600;2;980
77;812-53-3925;21/08/51;47;North;0;54800;4;2060
78;928-03-6804;30/06/57;41;North;1;99000;2;1010
79;563-59-2002;25/12/44;54; South;0;32200;6;3350
80;921-76-8114;26/02/56;43;West;0;157300;5;2690
81;717-33-3321;03/09/56;42;East;0;159500;3;1500
82;806-85-0231;15/02/63;36; East;0;51800;1;440
83;706-95-2886;28/02/68;31;East;0;90700;2;1070
84;024-35-0030;17/08/32;66;North;0;145000;4;2000
85;498-89-2407;01/06/49;49;North;0;61300;1;500
86;766-80-1760;17/12/51;47;West;0;46800;2;910
87;993-16-6395;04/01/40;59;East;1;132900;2;1050
88;306-91-7822;18/06/76;22;West;0;22300;6;2970
89;527-22-2738;20/10/62;36;North;0;157100;5;2440
90;968-69-0478;28/02/33;66; North;1;74700;5;2500
91;136-57-5577;01/01/67;32;West;1;61200;1;500
92;374-74-5181;30/08/39;59;South;1;104600;3;1580
93;547-29-5276;05/03/43;56;South;1;159400;3;1490
94;238-06-2858;28/11/33;65;North;0;90900;4;1850
95;786-57-2428;06/03/67;32;North;1;99600;3;1440
96;690-64-5343;22/11/37;61;West;0;26500;1;430
97;670-96-4031;29/05/54;44;East;0;34000;0;0
98;141-37-6975;28/07/62;36;East;0;105500;3;1650
99;529-62-7010;14/10/36;62;South;0;113200;1;580
100;356-92-4512;01/05/67;31;East;0;117300;0;0
101;836-01-9399;08/07/47;51;North;0;53100;3;1580
102;364-39-3617;02/03/74;25;North;0;29100;2;980
103;551-20-4111;01/07/46;52;North;1;159300;3;1370
104;867-05-5859;15/04/53;45;West;0;53500;2;1050
105;979-54-8523;23/12/68;30;South;0;49900;4;2250
106;739-54-0181;21/09/67;31;North;0;128200;3;1480
107;138-16-7186;06/08/51;47;West;1;131900;5;2550
108;196-33-5985;27/11/37;61;South;0;56100;2;970
109;280-07-3023;04/08/43;55;West;0;24300;3;460
110;446-98-7404;11/09/76;22;East;1;57000;3;1450
111;120-59-5525;09/01/70;29;North;1;35100;1;480
112;227-25-4383;08/08/72;26;North;1;38900;4;1820
113;148-22-2476;07/05/75;23;South;0;104800;4;2160
114;540-01-0871;24/08/39;59;East;0;101100;2;980
115;827-61-3957;23/01/51;48;North;1;104800;1;470
116;388-77-5287;10/10/43;55;North;0;131000;2;1010
117;664-07-3617;01/11/42;56;West;1;60600;3;1480
118;196-36-5435;21/01/34;65;East;0;87200;3;1590
119;763-45-1991;16/06/56;42;North;0;120400;6;3000
120;779-58-0888;01/04/76;23;South;0;82400;3;1540
121;345-16-5545;08/07/59;39;West;1;112700;3;450
122;875-06-3762;04/01/67;32;South;1;74600;5;2510
123;088-19-7329;16/09/63;35;West;0;22900;3;1650
124;226-86-1007;16/04/34;64;West;1;127000;1;560
125;947-29-8137;05/07/37;61;South;0;28000;3;1460
126;878-73-4511;25/12/53;45;North;1;51400;5;2410
127;005-83-0032;13/09/50;48;West;1;122400;3;1460
128;214-25-9429;03/07/41;57;West;1;62300;0;0
129;072-31-6181;07/12/30;68;East;1;30000;7;3430
130;086-90-9306;12/02/37;62;South;0;94800;1;480
131;245-34-6151;23/01/34;65; East;0;32300;4;2110
132;338-43-2322;03/10/36;62;West;0;33700;5;2630
133;475-72-9956;03/05/31;67;West;1;84800;6;3010
134;112-14-2487;06/04/75;24;East;0;119800;3;1570
135;356-81-4354;07/07/50;48; South;0;45100;3;1530
136;984-60-9162;14/01/46;53;West;1;73500;3;1680
137;794-37-2075;03/12/39;59;South;0;60300;2;990
138;685-49-2360;03/08/36;62;South;0;30000;6;3000
139;387-87-8995;29/12/36;62;East;1;111300;1;510
140;052-10-4037;06/05/41;57; South;1;74800;2;940
141;679-47-7511;24/02/50;49;East;0;55000;3;1380
142;042-87-5011;02/08/47;51;East;1;127500;4;1950
143;296-22-7981;06/02/52;47;South;0;38500;1;520
144;293-45-1188;26/11/34;64;North;0;126900;3;1510
145;795-49-1529;28/02/62;37; West;0;136900;2;920
146;729-96-6009;07/02/31;68;South;0;27500;2;1080
147;912-87-9911;06/06/74;24;East;0;74700;1;470
148;237-88-3817;11/08/29;-31;South;0;63800;8;3960
149;640-10-2682;28/12/73;25;West;0;40400;2;990
150;845-40-9466;28/06/67;31;West;0;34500;3;1550
151;161-55-1347;24/04/41;57;East;1;65700;4;1970
152;766-34-9778;06/02/38;61;North;1;54100;2;970
153;048-55-8930;05/09/34;64;West;1;64400;9999;9999
154;978-49-9213;21/02/74;25;North;1;155900;2;990
155;311-92-3454;15/08/55;43;North;0;134900;2;910
156;004-59-9799;12/06/38;60; North;0;79700;2;980
157;381-82-6591;03/04/50;49;East;0;95600;1;490
158;401-48-9373;05/11/54;44;East;0;110700;4;2110
159;680-00-1375;28/09/48;50; North;1;139500;4;2050
160;681-91-9241;12/03/39;60;South;1;97300;4;1960
161;903-74-1242;14/05/53;45;West;0;47800;4;1980
162;983-99-2656;14/02/37;62;North;0;128100;2;1040
163;711-72-5796;20/09/36;62;North;0;158700;2;480
164;257-52-2928;03/04/69;30;West;1;47300;2;1070
165;934-95-6742;17/03/42;57;East;1;80600;3;1510
166;668-39-5208;23/06/51;47;North;0;31100;6;2920
167;071-41-4982;17/07/75;23;South;1;26600;3;1590
168;898-97-1835;31/08/51;47;East;0;67400;2;930
169;368-55-5341;17/07/50;48;South;0;111300;4;2030
170;843-38-7171;05/09/43;55;West;0;141800;6;2930
171;595-40-8667;11/05/43;55;West;1;146000;4;1950
172;041-89-5328;14/02/38;61;East;1;102100;1;510
173;836-76-9797;11/08/66;32;East;0;81500;3;1470
174;240-78-9827;09/01/30;69;East;0;29900;2;960
175;081-21-6057;07/10/35;63;South;1;47000;4;2020
176;668-26-5505;05/10/39;59;North;0;45000;1;490
177;504-11-1370;30/03/47;52;South;0;74000;1;500
178;914-72-8993;22/10/50;48;West;1;32700;5;2540
179;798-56-6203;02/06/64;34;West;0;55500;4;2140
180;135-53-6004;08/06/46;52;South;0;75400;2;1030
181;768-31-6143;23/07/44;54;North;0;51500;5;2700
182;106-76-7765;10/09/62;36;West;0;113200;1;450
183;568-67-3235;04/06/63;35;South;1;84900;3;1640
184;749-13-4045;22/08/30;68;South;1;120600;2;1060
185;958-01-0608;29/04/57;41;North;1;94100;3;1530
186;663-10-0871;25/04/55;43;North;1;122500;4;2020
187;970-73-9521;28/04/75;23;North;0;158100;2;900
188;058-37-2441;14/11/65;33;East;1;116300;2;910
189;848-65-2949;23/09/34;64;West;0;113000;2;890
190;350-19-4965;29/12/62;36;South;0;79100;1;560
191;927-89-2673;04/04/72;27;North;0;53800;4;1990
192;907-46-7393;10/07/39;59;West;1;139300;2;1110
193;194-51-2699;19/06/37;61;West;1;128700;4;2000
194;805-67-0224;10/07/43;55; West;0;42600;3;1460
195;612-34-1280;16/10/34;64;West;1;114400;6;3180
196;181-87-5635;17/12/65;33;East;1;125300;1;500
197;842-08-2108;01/12/72;26;South;0;39800;2;1000
198;616-28-4605;01/11/63;35;North;0;79300;2;930
199;014-61-7801;19/08/73;25; North;1;77800;2;1050
200;314-15-4994;21/11/51;47;South;1;27000;5;2590
201;139-10-7980;12/09/57;41;West;1;55900;4;1970
202;554-39-9975;25/02/68;31;North;0;68600;1;450
203;166-49-2456;26/04/40;58;West;1;90800;4;1890
204;329-16-1715;18/10/42;56;East;0;121400;4;1890
205;315-66-4727;04/12/43;55; North;0;23200;0;0
206;089-59-1345;04/04/55;44;South;0;58300;2;960
207;257-73-8874;14/07/70;28;South;0;89900;1;490
208;862-39-6932;22/05/37;61;East;1;154100;4;2000
209;234-21-0404;05/10/51;47;South;0;83900;2;960
210;805-78-8752;21/02/47;52;West;1;87100;1;500
211;130-32-9797;15/08/49;49;North;1;56000;5;2570
212;810-32-9755;18/10/62;36;North;1;63100;3;1520
213;347-12-6942;24/12/41;57;North;1;141800;3;1570
214;865-98-4398;25/06/53;45;East;0;101000;0;0
215;416-41-5038;18/01/58;41;West;1;128000;1;520
216;362-37-6183;21/06/72;26;East;1;110600;4;1930
217;206-36-4571;15/08/67;31;South;0;109100;2;1040
218;648-82-5612;15/01/39;60;North;0;126500;4;2120
219;598-63-4290;12/08/53;45;East;0;60800;4;1980
220;148-17-5139;12/07/32;66;West;0;158600;1;560
221;277-65-0008;03/04/65;34;South;1;35200;2;910
222;921-58-5899;14/11/44;54;South;0;95000;1;490
223;853-48-3661;05/12/44;54;West;0;104100;3;1560
224;934-03-3752;28/12/40;58;South;0;33100;3;1430
225;506-69-9915;30/09/31;67; South;0;152500;2;1070
226;332-59-6137;24/08/51;47;East;0;139400;4;2130
227;580-03-8512;12/10/53;45;East;0;48400;2;1170
228;593-64-3253;23/07/44;54;West;1;77000;5;2470
229;964-27-4755;29/01/27;-28; East;0;26700;1;450
230;091-58-5378;27/05/54;44;North;1;37100;4;2030
231;120-80-7757;26/06/55;43;North;0;98700;4;1880
232;506-34-9996;17/11/48;50;West;1;97200;3;1560
233;924-59-1581;12/05/31;67;South;0;138;6;2950
234;395-58-1541;12/01/34;65;West;0;63800;2;1090
235;884-65-4305;09/05/31;67;East;0;28300;2;1060
236;892-99-3317;29/03/41;58;North;1;151700;1;440
237;494-65-2606;17/01/42;57;South;0;131100;2;1110
238;138-63-0828;22/06/67;31;East;0;25900;2;1010
239;858-19-2871;06/04/53;46;East;1;34000;4;1970
240;551-17-7662;23/06/71;27; West;0;22400;1;580
241;742-42-7288;05/04/30;69;East;0;54100;2;470
242;049-58-2871;26/11/74;24;West;0;39900;2;950
243;271-84-4247;03/02/31;68;South;1;34200;1;480
244;044-48-5965;04/03/43;56; South;0;78500;8;3880
245;732-36-7959;11/07/47;51;East;1;66700;2;1040
246;977-55-0497;12/03/59;40;West;0;113500;2;880
247;804-79-7236;04/10/34;64;West;1;142400;1;490
248;892-54-8157;15/02/46;53;North;0;105900;2;960
249;261-41-5835;16/11/34;64;West;1;46300;3;1460
250;586-87-0627;24/06/52;46;East;1;53300;9999;9999
251;972-64-3538;13/03/38;61;East;0;118000;3;1460
252;089-42-4360;21/05/65;33;North;1;41100;2;920
253;782-64-0324;19/08/68;30;South;1;105200;2;950
254;671-53-6570;11/05/53;45;East;0;57000;3;1470
255;227-69-6663;03/07/49;49;North;0;32500;3;1440
256;533-80-6965;07/07/43;55;East;1;149000;2;1120
257;920-64-7706;18/05/72;26;North;0;45500;6;3090
258;760-60-7511;17/02/39;60;North;1;93200;2;1090
259;731-52-6832;05/02/51;48;East;1;41700;3;450
260;496-45-7610;30/05/46;52;North;0;27600;4;1930
261;251-74-9797;22/01/45;54;East;0;27500;4;2090
262;078-85-9738;03/04/62;37;South;1;85100;1;490
263;282-86-1522;25/07/40;58;North;1;58900;3;1490
264;378-37-8821;28/08/41;57;West;0;105200;7;3540
265;937-42-0019;17/01/49;50;South;0;102200;2;980
266;222-65-1578;02/08/59;39;East;0;95300;6;3030
267;361-54-7583;27/02/37;62;East;1;66800;2;1020
268;565-57-3284;20/04/57;41;East;1;58300;4;1900
269;142-86-8046;15/02/48;51;West;1;53500;4;1970
270;985-78-7861;17/08/40;58;South;0;9999;2;940
271;597-27-9276;13/01/52;47;South;0;21700;4;1870
272;414-22-4812;21/12/72;26;North;1;123600;1;530
273;257-78-4740;12/08/42;56;South;0;92800;4;1930
274;189-12-1771;31/12/47;51; East;0;31900;4;2090
275;854-00-7900;19/08/71;27;North;0;49900;1;500
276;928-27-7429;12/04/37;62;West;1;31900;5;2540
277;279-05-7605;05/10/47;51;East;0;72200;1;600
278;716-10-5355;31/03/76;23; East;0;132000;2;1070
279;349-95-9773;27/07/44;54;South;1;129700;2;980
280;054-58-8104;07/08/63;35;South;0;158300;2;1120
281;442-76-6612;13/08/76;22; South;1;55600;6;3050
282;752-49-4867;20/10/37;61; East;0;136400;1;470
283;068-99-9086;26/08/49;49;West;0;86000;2;1020
284;174-78-3642;21/03/36;63;North;0;55900;5;2620
285;603-73-1482;18/11/67;31;North;0;97600;5;2490
286;777-09-2294;27/05/47;51;West;0;153000;2;1070
287;133-53-5943;22/09/35;63;North;1;20000;9999;9999
288;235-31-1095;18/12/53;45;West;0;72500;7;3470
289;081-13-7838;15/08/57;41;North;0;83600;2;1000
290;234-76-1576;19/10/76;22;South;0;90200;5;2390
291;230-20-4455;23/03/52;47;South;1;130100;0;0
292;959-45-2475;11/11/39;59;West;0;76000;6;2990
293;007-25-4693;01/09/56;42;South;0;152200;1;540
294;728-06-3395;12/07/66;32; West;0;159800;3;1300
295;076-10-0890;12/11/61;37;West;0;158700;4;2040
296;961-16-5873;12/09/65;33;West;0;68400;1;460
297;744-98-5832;07/09/62;36;South;0;144500;4;2010
298;325-41-2910;02/05/31;67;South;1;159500;1;460
299;862-31-3255;19/10/67;31; West;0;130400;3;1590
300;764-61-5558;24/01/54;45;South;0;86800;5;2560
301;984-52-9881;12/02/66;33; East;1;101400;1;540
302;662-92-2229;07/02/53;46;South;0;88700;2;1010
303;769-88-6739;17/06/63;35;East;0;50000;4;1970
304;910-51-2471;26/02/56;43;North;1;157000;2;930
305;844-85-3557;03/05/54;44;South;0;35300;1;500
306;408-84-2806;02/12/34;64;West;0;26300;3;1430
307;063-48-1761;25/05/57;41;West;0;155200;2;980
308;388-54-9400;24/11/31;67;West;0;95200;3;1550
309;219-27-1292;07/06/51;47;East;1;67700;4;2080
310;038-10-6353;10/03/42;57;West;0;98400;3;1470
311;786-42-3749;15/06/62;36;North;0;62500;5;2340
312;506-56-1313;08/10/73;25;West;0;155700;3;1590
313;614-15-8673;09/09/38;60;North;0;90000;2;1030
314;304-83-6329;13/04/43;56; North;1;93700;4;1900
315;785-96-4046;22/11/46;52;South;0;25000;5;2430
316;248-09-8827;07/04/41;58;South;1;87400;4;2230
317;865-85-3875;19/12/31;67;South;0;149900;9999;9999
318;881-27-0410;03/06/48;50;South;0;43200;2;970
319;510-65-5417;17/01/47;52;East;0;126700;4;2010
320;125-37-1477;09/04/66;33;South;0;73100;1;520
321;037-37-1991;12/07/71;27;South;0;85400;5;2590
322;859-61-4407;05/12/33;65;North;1;102800;2;1070
323;823-62-8660;24/10/76;22;East;1;88500;5;2450
324;133-99-5496;13/05/28;-30;North;0;142500;2;1000
325;508-96-1734;26/01/71;28;North;0;29600;5;2640
326;338-32-1375;05/04/74;25;West;1;94900;4;1820
327;990-12-9391;03/04/37;62;South;0;85200;4;2120
328;004-10-8303;19/10/76;22;West;1;49800;4;1940
329;133-35-4732;19/11/30;68;North;1;101700;3;1630
330;384-24-2902;14/10/57;41;West;1;80300;0;0
331;486-60-5728;30/12/34;64;East;0;65400;3;1630
332;614-02-9471;10/02/41;58;North;0;45900;4;2000
333;197-39-4449;21/07/34;64;East;0;39100;2;880
334;702-85-1018;25/08/47;51;West;1;135200;2;1040
335;682-34-2855;16/07/54;44;West;0;116800;2;1110
336;328-74-3413;25/02/46;53;South;0;94200;8;4170
337;839-88-2989;31/12/34;64;North;1;96100;3;1530
338;389-86-3710;23/08/58;40;West;0;158600;3;1600
339;733-66-1987;24/10/70;28;West;1;84400;3;1450
340;071-06-0148;03/08/71;27;North;0;62900;3;1400
341;156-16-4252;09/03/54;45;North;0;43100;3;1390
342;930-59-9609;21/06/37;61;South;1;69000;1;430
343;729-44-3056;20/06/66;32;West;1;29000;3;1570
344;244-38-5062;07/08/69;29;East;0;145500;3;1500
345;123-14-4547;29/09/73;25;North;0;29100;2;990
346;718-01-4106;11/11/67;31;East;0;119200;2;860
347;667-21-1403;10/03/34;65; South;0;34500;4;1790
348;828-53-6108;13/05/54;44;West;0;55800;3;1680
349;013-36-8187;25/03/52;47;East;1;38900;3;1370
350;760-35-3504;28/01/66;33;North;0;28000;1;540
351;782-44-7240;11/01/33;66;North;0;65400;1;560
352;121-07-9130;29/06/72;26;East;0;56200;3;1650
353;872-75-2197;06/10/47;51;East;1;137000;4;2120
354;197-52-4929;20/09/68;30;South;1;121600;3;1510
355;643-36-2129;26/04/65;33;West;0;37900;2;1090
356;070-19-1017;11/05/73;25;East;1;74100;6;2880
357;051-08-2927;16/09/38;60;West;0;54300;2;1140
358;323-74-6354;05/04/54;45;North;0;123800;3;1410
359;503-92-2818;05/07/55;43;South;0;128800;1;450
360;507-30-4038;14/08/32;66;West;0;82000;2;1080
361;971-92-9025;07/12/65;33;North;1;39900;2;1010
362;740-96-6085;03/03/58;41;East;1;75100;3;1640
363;134-73-4050;11/07/38;60;South;1;72700;3;1700
364;538-30-6612;10/03/45;54;South;1;84100;4;2060
365;733-63-5735;17/12/35;63; North;0;131500;4;2090
366;619-90-2506;20/09/47;51;South;1;90400;3;1450
367;478-29-8605;05/04/54;45;East;1;70900;3;1620
368;170-71-7865;05/04/34;65;South;0;48400;5;2730
369;283-42-4994;16/04/66;32;South;1;100000;5;2500
370;180-60-2968;03/09/43;55;South;0;117400;3;1450
371;988-17-9148;15/03/34;65;East;1;113900;4;1990
372;543-41-6718;27/05/38;60;South;0;111000;1;490
373;786-20-3490;08/07/32;66;West;1;25800;3;1610
374;607-15-8496;08/08/59;39;West;0;127700;3;1520
375;867-63-6238;17/09/71;27;West;0;29900;9999;9999
376;230-34-5487;09/01/75;24;North;1;120600;6;3000
377;516-39-0394;11/10/31;67;East;0;97600;4;1960
378;569-84-0252;16/08/53;45;West;0;156200;0;0
379;955-97-9571;20/02/70;29;North;0;77000;1;510
380;283-99-0391;29/09/62;36;West;0;144100;2;1020
381;617-24-4419;08/07/54;44;North;0;56900;0;0
382;839-56-3103;12/05/71;27; East;1;89000;1;460
383;447-40-3968;15/10/50;48;East;1;148300;5;2520
384;610-94-1399;18/03/63;36;South;0;88500;1;520
385;927-16-5466;12/09/55;43;South;0;113400;2;960
386;651-91-1281;08/07/54;44;East;1;57400;6;2920
387;841-01-2758;28/11/32;66;South;0;82800;1;520
388;467-98-0643;15/08/52;46;North;1;118400;4;2160
389;948-04-9634;19/08/73;25;West;0;34100;1;420
390;901-03-4843;15/10/32;66;South;1;62100;0;0
391;208-84-9026;30/09/54;44;North;0;61800;4;1940
392;570-33-4476;16/01/53;46;East;1;69600;2;960
393;832-40-2717;20/09/41;57;North;1;100300;1;660
394;809-85-4142;28/06/60;38;East;1;107400;6;3100
395;065-66-9401;11/08/38;60;East;0;153700;3;1560
396;666-89-9346;16/11/32;66;South;1;97500;4;2060
397;492-10-1174;14/08/59;39; South;0;96800;4;1920
398;059-49-4988;16/07/47;51;North;1;151700;1;580
399;857-20-7847;08/07/55;43;North;0;106700;3;1580
400;621-86-4986;01/10/54;44;South;0;132400;5;2650
401;788-07-8212;09/05/52;46;South;1;102000;4;2030
402;460-00-0880;29/07/67;31;South;1;65200;2;1030
403;310-43-5361;26/05/31;67;South;1;59200;4;1950
404;091-57-6111;27/02/43;56;East;0;120300;2;880
405;981-40-1611;19/06/62;36;South;0;62600;0;0
406;642-06-7906;31/07/32;66;West;0;141000;5;2530
407;241-86-3823;03/07/59;39;East;1;88;4;2000
408;201-21-4448;03/10/64;34;South;0;104000;3;1570
409;299-90-6494;19/09/38;60;East;0;139400;5;2400
410;683-56-1822;09/10/41;57;North;0;27800;2;1080
411;266-88-7218;17/09/42;56;West;1;75400;0;0
412;188-73-9156;21/03/33;66;West;0;124700;2;940
413;881-72-4761;21/04/47;51;West;0;81300;3;1590
414;041-47-9311;08/09/64;34;South;1;100700;3;1420
415;757-86-1866;13/05/75;23;South;0;26300;2;1080
416;540-17-8964;12/06/42;56;South;0;43100;1;520
417;294-64-9066;14/10/62;36;South;0;68000;4;1870
418;761-02-5278;24/11/38;60;South;0;92600;4;2150
419;187-05-0809;09/04/70;29;North;1;157200;1;480
420;498-98-9133;09/01/68;31; East;1;64700;1;580
421;431-50-7594;16/01/31;68;South;0;46900;6;3090
422;223-40-7229;30/10/41;57;West;0;26200;5;2490
423;865-16-1471;22/10/37;61;South;0;146500;2;860
424;133-03-4451;13/05/64;34;West;0;136000;3;1510
425;898-36-4855;01/09/70;28;North;0;153900;5;2480
426;968-16-0774;29/09/28;-30;North;0;68400;2;1100
427;116-79-4194;23/02/64;35;South;1;146800;4;1950
428;204-27-8412;24/05/66;32;North;0;25100;2;1060
429;279-23-7773;17/05/27;71;South;0;120300;4;2100
430;011-89-2945;04/10/59;39;South;0;146800;4;1940
431;151-83-0454;03/02/74;25;South;1;62000;4;2040
432;572-79-9529;21/01/67;32;West;1;104500;9999;9999
433;179-26-1967;17/05/42;56;East;1;124400;4;1980
434;078-33-0049;06/01/72;27;North;1;107500;2;1010
435;230-00-8212;25/02/35;64;North;0;37600;3;1350
436;184-13-7128;26/04/32;66;North;0;52500;5;2460
437;397-58-5837;27/03/41;58;North;0;116200;1;450
438;835-90-5049;26/02/59;40;North;1;113000;0;0
439;390-77-9781;03/06/70;28; West;0;22;8;4160
440;618-84-1169;19/10/28;-30;West;1;113600;1;470
441;068-81-7396;10/11/51;47;West;1;146900;0;0
442;519-31-1612;04/11/70;28;North;1;104300;3;1330
443;087-21-2053;02/07/52;46;West;0;141200;9999;9999
444;534-72-8644;16/06/66;32;North;1;121600;1;410
445;152-38-8059;19/10/69;29;West;0;60900;8;4190
446;743-28-2638;28/10/43;55;South;1;84500;4;1990
447;856-77-6560;06/01/40;59;South;1;9999;0;0
448;497-59-5738;21/08/52;46;South;1;77900;4;450
449;238-00-9607;17/11/61;37;East;0;132700;2;1010
450;743-72-5071;22/04/36;62;South;1;81500;7;3470
451;391-73-9114;01/04/67;32;West;1;41200;2;910
452;957-46-9163;25/07/63;35; West;0;70500;4;1900
453;038-69-9847;18/01/31;68;North;0;51900;2;960
454;631-49-5164;11/06/66;32;West;0;93500;3;1520
455;308-15-1508;14/06/75;23;North;1;160000;2;1050
456;707-76-5941;04/08/58;40;East;0;53700;1;470
457;809-05-9533;20/09/48;50;West;0;109900;4;2140
458;096-34-6977;01/02/53;46;North;1;117900;3;1520
459;236-06-5189;24/01/64;35;South;0;92900;4;2040
460;756-41-9393;14/05/71;27;East;0;81;3;1500
461;523-60-4191;02/12/58;40;East;0;124900;3;1430
462;576-97-4385;27/04/42;56;South;0;44500;0;0
463;619-94-0553;17/05/27;71;East;0;62300;2;930
464;680-00-1375;19/10/33;65;North;1;97000;5;2740
465;679-57-0542;08/09/52;46;East;1;152100;2;1030
466;365-18-7407;17/05/27;71;East;0;155400;4;1900
467;114-58-1917;17/03/58;41; East;0;116000;4;1830
468;095-91-8762;25/02/38;61;East;0;72900;4;2110
469;797-55-3419;16/09/61;37;North;1;132800;9999;9999
470;638-14-5894;23/11/62;36;West;0;44600;1;500
471;317-58-2349;03/07/46;52; North;0;85300;6;2950
472;587-07-8849;04/10/56;42;South;0;78200;3;1530
473;552-10-0673;19/03/58;41;East;1;113900;4;1870
474;170-17-6377;29/10/47;51;South;1;82700;6;2990
475;545-27-9556;29/01/76;23;North;0;144200;2;990
476;235-81-0253;15/12/40;58;West;1;59200;2;1000
477;029-27-4878;31/01/31;68;East;0;117100;5;2420
478;163-34-8915;04/06/59;39;West;0;21900;1;500
479;325-76-3366;18/01/42;57;East;1;78500;2;900
480;168-73-9011;21/06/54;44;West;1;151000;4;2030
481;483-00-6418;13/06/67;31;East;0;45900;2;1040
482;335-77-7786;26/10/40;58; South;0;154200;3;1600
483;355-80-3520;29/12/32;66;East;0;131500;4;1940
484;244-96-8766;03/05/46;52;South;0;130400;0;0
